run_date,library,category,notebook_count,adoption_pct,collection_type
2020-01-01,xgboost,ml,0,0.0,cohort
2021-01-01,altair,plotting,0,0.0,cohort
2021-01-01,anthropic,llm,0,0.0,cohort
2021-01-01,anywidget,interactive,0,0.0,cohort
2021-01-01,bokeh,plotting,0,0.0,cohort
2021-01-01,dask,data_io,0,0.0,cohort
2021-01-01,duckdb,data_io,0,0.0,cohort
2021-01-01,holoviews,plotting,0,0.0,cohort
2021-01-01,ipyleaflet,interactive,0,0.0,cohort
2021-01-01,ipywidgets,interactive,0,0.0,cohort
2021-01-01,jax,deep_learning,1,0.833,cohort
2021-01-01,jupyter_ai,llm,0,0.0,cohort
2021-01-01,keras,deep_learning,7,5.833,cohort
2021-01-01,langchain,llm,0,0.0,cohort
2021-01-01,lightgbm,ml,0,0.0,cohort
2021-01-01,llamaindex,llm,0,0.0,cohort
2021-01-01,marimo,notebook_tech,0,0.0,cohort
2021-01-01,matplotlib,plotting,69,57.5,cohort
2021-01-01,nbconvert,notebook_tech,0,0.0,cohort
2021-01-01,numpy,array,86,71.667,cohort
2021-01-01,openai,llm,0,0.0,cohort
2021-01-01,pandas,array,51,42.5,cohort
2021-01-01,panel,notebook_tech,0,0.0,cohort
2021-01-01,papermill,notebook_tech,0,0.0,cohort
2021-01-01,plotly,plotting,7,5.833,cohort
2021-01-01,plotnine,plotting,1,0.833,cohort
2021-01-01,polars,array,0,0.0,cohort
2021-01-01,pyarrow,data_io,0,0.0,cohort
2021-01-01,pytorch,deep_learning,24,20.0,cohort
2021-01-01,pytorch_lightning,deep_learning,0,0.0,cohort
2021-01-01,quarto,notebook_tech,0,0.0,cohort
2021-01-01,requests,data_io,2,1.667,cohort
2021-01-01,scikit_learn,ml,35,29.167,cohort
2021-01-01,scipy,scientific,13,10.833,cohort
2021-01-01,seaborn,plotting,20,16.667,cohort
2021-01-01,sqlalchemy,data_io,0,0.0,cohort
2021-01-01,statsmodels,scientific,2,1.667,cohort
2021-01-01,streamlit,interactive,0,0.0,cohort
2021-01-01,sympy,scientific,0,0.0,cohort
2021-01-01,tensorflow,deep_learning,22,18.333,cohort
2021-01-01,transformers,deep_learning,7,5.833,cohort
2021-01-01,voila,notebook_tech,0,0.0,cohort
2021-01-01,xgboost,ml,1,0.833,cohort
2022-01-01,altair,plotting,2,1.667,cohort
2022-01-01,anthropic,llm,0,0.0,cohort
2022-01-01,anywidget,interactive,0,0.0,cohort
2022-01-01,bokeh,plotting,0,0.0,cohort
2022-01-01,dask,data_io,0,0.0,cohort
2022-01-01,duckdb,data_io,0,0.0,cohort
2022-01-01,holoviews,plotting,0,0.0,cohort
2022-01-01,ipyleaflet,interactive,0,0.0,cohort
2022-01-01,ipywidgets,interactive,1,0.833,cohort
2022-01-01,jax,deep_learning,2,1.667,cohort
2022-01-01,jupyter_ai,llm,0,0.0,cohort
2022-01-01,keras,deep_learning,3,2.5,cohort
2022-01-01,langchain,llm,0,0.0,cohort
2022-01-01,lightgbm,ml,0,0.0,cohort
2022-01-01,llamaindex,llm,0,0.0,cohort
2022-01-01,marimo,notebook_tech,0,0.0,cohort
2022-01-01,matplotlib,plotting,68,56.667,cohort
2022-01-01,nbconvert,notebook_tech,0,0.0,cohort
2022-01-01,numpy,array,84,70.0,cohort
2022-01-01,openai,llm,0,0.0,cohort
2022-01-01,pandas,array,59,49.167,cohort
2022-01-01,panel,notebook_tech,0,0.0,cohort
2022-01-01,papermill,notebook_tech,0,0.0,cohort
2022-01-01,plotly,plotting,6,5.0,cohort
2022-01-01,plotnine,plotting,0,0.0,cohort
2022-01-01,polars,array,5,4.167,cohort
2022-01-01,pyarrow,data_io,0,0.0,cohort
2022-01-01,pytorch,deep_learning,10,8.333,cohort
2022-01-01,pytorch_lightning,deep_learning,0,0.0,cohort
2022-01-01,quarto,notebook_tech,0,0.0,cohort
2022-01-01,requests,data_io,5,4.167,cohort
2022-01-01,scikit_learn,ml,29,24.167,cohort
2022-01-01,scipy,scientific,23,19.167,cohort
2022-01-01,seaborn,plotting,23,19.167,cohort
2022-01-01,sqlalchemy,data_io,0,0.0,cohort
2022-01-01,statsmodels,scientific,12,10.0,cohort
2022-01-01,streamlit,interactive,0,0.0,cohort
2022-01-01,sympy,scientific,0,0.0,cohort
2022-01-01,tensorflow,deep_learning,9,7.5,cohort
2022-01-01,transformers,deep_learning,3,2.5,cohort
2022-01-01,voila,notebook_tech,0,0.0,cohort
2022-01-01,xgboost,ml,1,0.833,cohort
2023-01-01,altair,plotting,0,0.0,cohort
2023-01-01,anthropic,llm,1,0.847,cohort
2023-01-01,anywidget,interactive,0,0.0,cohort
2023-01-01,bokeh,plotting,0,0.0,cohort
2023-01-01,dask,data_io,0,0.0,cohort
2023-01-01,duckdb,data_io,0,0.0,cohort
2023-01-01,holoviews,plotting,0,0.0,cohort
2023-01-01,ipyleaflet,interactive,0,0.0,cohort
2023-01-01,ipywidgets,interactive,1,0.847,cohort
2023-01-01,jax,deep_learning,0,0.0,cohort
2023-01-01,jupyter_ai,llm,0,0.0,cohort
2023-01-01,keras,deep_learning,6,5.085,cohort
2023-01-01,langchain,llm,9,7.627,cohort
2023-01-01,lightgbm,ml,0,0.0,cohort
2023-01-01,llamaindex,llm,0,0.0,cohort
2023-01-01,marimo,notebook_tech,0,0.0,cohort
2023-01-01,matplotlib,plotting,59,50.0,cohort
2023-01-01,nbconvert,notebook_tech,0,0.0,cohort
2023-01-01,numpy,array,64,54.237,cohort
2023-01-01,openai,llm,5,4.237,cohort
2023-01-01,pandas,array,70,59.322,cohort
2023-01-01,panel,notebook_tech,0,0.0,cohort
2023-01-01,papermill,notebook_tech,0,0.0,cohort
2023-01-01,plotly,plotting,8,6.78,cohort
2023-01-01,plotnine,plotting,0,0.0,cohort
2023-01-01,polars,array,0,0.0,cohort
2023-01-01,pyarrow,data_io,1,0.847,cohort
2023-01-01,pytorch,deep_learning,15,12.712,cohort
2023-01-01,pytorch_lightning,deep_learning,0,0.0,cohort
2023-01-01,quarto,notebook_tech,0,0.0,cohort
2023-01-01,requests,data_io,10,8.475,cohort
2023-01-01,scikit_learn,ml,34,28.814,cohort
2023-01-01,scipy,scientific,15,12.712,cohort
2023-01-01,seaborn,plotting,36,30.508,cohort
2023-01-01,sqlalchemy,data_io,0,0.0,cohort
2023-01-01,statsmodels,scientific,3,2.542,cohort
2023-01-01,streamlit,interactive,0,0.0,cohort
2023-01-01,sympy,scientific,0,0.0,cohort
2023-01-01,tensorflow,deep_learning,4,3.39,cohort
2023-01-01,transformers,deep_learning,7,5.932,cohort
2023-01-01,voila,notebook_tech,0,0.0,cohort
2023-01-01,xgboost,ml,8,6.78,cohort
2024-01-01,altair,plotting,0,0.0,cohort
2024-01-01,anthropic,llm,0,0.0,cohort
2024-01-01,anywidget,interactive,0,0.0,cohort
2024-01-01,bokeh,plotting,0,0.0,cohort
2024-01-01,dask,data_io,0,0.0,cohort
2024-01-01,duckdb,data_io,0,0.0,cohort
2024-01-01,holoviews,plotting,0,0.0,cohort
2024-01-01,ipyleaflet,interactive,0,0.0,cohort
2024-01-01,ipywidgets,interactive,0,0.0,cohort
2024-01-01,jax,deep_learning,0,0.0,cohort
2024-01-01,jupyter_ai,llm,0,0.0,cohort
2024-01-01,keras,deep_learning,5,4.274,cohort
2024-01-01,langchain,llm,2,1.709,cohort
2024-01-01,lightgbm,ml,0,0.0,cohort
2024-01-01,llamaindex,llm,0,0.0,cohort
2024-01-01,marimo,notebook_tech,0,0.0,cohort
2024-01-01,matplotlib,plotting,62,52.991,cohort
2024-01-01,nbconvert,notebook_tech,0,0.0,cohort
2024-01-01,numpy,array,70,59.829,cohort
2024-01-01,openai,llm,1,0.855,cohort
2024-01-01,pandas,array,55,47.009,cohort
2024-01-01,panel,notebook_tech,0,0.0,cohort
2024-01-01,papermill,notebook_tech,0,0.0,cohort
2024-01-01,plotly,plotting,5,4.274,cohort
2024-01-01,plotnine,plotting,0,0.0,cohort
2024-01-01,polars,array,0,0.0,cohort
2024-01-01,pyarrow,data_io,0,0.0,cohort
2024-01-01,pytorch,deep_learning,25,21.368,cohort
2024-01-01,pytorch_lightning,deep_learning,0,0.0,cohort
2024-01-01,quarto,notebook_tech,0,0.0,cohort
2024-01-01,requests,data_io,9,7.692,cohort
2024-01-01,scikit_learn,ml,23,19.658,cohort
2024-01-01,scipy,scientific,10,8.547,cohort
2024-01-01,seaborn,plotting,25,21.368,cohort
2024-01-01,sqlalchemy,data_io,0,0.0,cohort
2024-01-01,statsmodels,scientific,3,2.564,cohort
2024-01-01,streamlit,interactive,2,1.709,cohort
2024-01-01,sympy,scientific,0,0.0,cohort
2024-01-01,tensorflow,deep_learning,11,9.402,cohort
2024-01-01,transformers,deep_learning,9,7.692,cohort
2024-01-01,voila,notebook_tech,0,0.0,cohort
2024-01-01,xgboost,ml,2,1.709,cohort
2025-01-01,altair,plotting,0,0.0,cohort
2025-01-01,anthropic,llm,0,0.0,cohort
2025-01-01,anywidget,interactive,0,0.0,cohort
2025-01-01,bokeh,plotting,0,0.0,cohort
2025-01-01,dask,data_io,3,2.564,cohort
2025-01-01,duckdb,data_io,0,0.0,cohort
2025-01-01,holoviews,plotting,0,0.0,cohort
2025-01-01,ipyleaflet,interactive,0,0.0,cohort
2025-01-01,ipywidgets,interactive,0,0.0,cohort
2025-01-01,jax,deep_learning,0,0.0,cohort
2025-01-01,jupyter_ai,llm,0,0.0,cohort
2025-01-01,keras,deep_learning,2,1.709,cohort
2025-01-01,langchain,llm,5,4.274,cohort
2025-01-01,lightgbm,ml,0,0.0,cohort
2025-01-01,llamaindex,llm,0,0.0,cohort
2025-01-01,marimo,notebook_tech,0,0.0,cohort
2025-01-01,matplotlib,plotting,61,52.137,cohort
2025-01-01,nbconvert,notebook_tech,0,0.0,cohort
2025-01-01,numpy,array,70,59.829,cohort
2025-01-01,openai,llm,5,4.274,cohort
2025-01-01,pandas,array,45,38.462,cohort
2025-01-01,panel,notebook_tech,0,0.0,cohort
2025-01-01,papermill,notebook_tech,0,0.0,cohort
2025-01-01,plotly,plotting,2,1.709,cohort
2025-01-01,plotnine,plotting,0,0.0,cohort
2025-01-01,polars,array,0,0.0,cohort
2025-01-01,pyarrow,data_io,0,0.0,cohort
2025-01-01,pytorch,deep_learning,24,20.513,cohort
2025-01-01,pytorch_lightning,deep_learning,0,0.0,cohort
2025-01-01,quarto,notebook_tech,0,0.0,cohort
2025-01-01,requests,data_io,4,3.419,cohort
2025-01-01,scikit_learn,ml,24,20.513,cohort
2025-01-01,scipy,scientific,11,9.402,cohort
2025-01-01,seaborn,plotting,21,17.949,cohort
2025-01-01,sqlalchemy,data_io,0,0.0,cohort
2025-01-01,statsmodels,scientific,2,1.709,cohort
2025-01-01,streamlit,interactive,0,0.0,cohort
2025-01-01,sympy,scientific,0,0.0,cohort
2025-01-01,tensorflow,deep_learning,4,3.419,cohort
2025-01-01,transformers,deep_learning,3,2.564,cohort
2025-01-01,voila,notebook_tech,0,0.0,cohort
2025-01-01,xgboost,ml,2,1.709,cohort
2026-01-01,altair,plotting,0,0.0,cohort
2026-01-01,anthropic,llm,0,0.0,cohort
2026-01-01,anywidget,interactive,0,0.0,cohort
2026-01-01,bokeh,plotting,0,0.0,cohort
2026-01-01,dask,data_io,0,0.0,cohort
2026-01-01,duckdb,data_io,0,0.0,cohort
2026-01-01,holoviews,plotting,0,0.0,cohort
2026-01-01,ipyleaflet,interactive,0,0.0,cohort
2026-01-01,ipywidgets,interactive,0,0.0,cohort
2026-01-01,jax,deep_learning,5,4.202,cohort
2026-01-01,jupyter_ai,llm,0,0.0,cohort
2026-01-01,keras,deep_learning,0,0.0,cohort
2026-01-01,langchain,llm,2,1.681,cohort
2026-01-01,lightgbm,ml,1,0.84,cohort
2026-01-01,llamaindex,llm,0,0.0,cohort
2026-01-01,marimo,notebook_tech,0,0.0,cohort
2026-01-01,matplotlib,plotting,82,68.908,cohort
2026-01-01,nbconvert,notebook_tech,0,0.0,cohort
2026-01-01,numpy,array,85,71.429,cohort
2026-01-01,openai,llm,3,2.521,cohort
2026-01-01,pandas,array,80,67.227,cohort
2026-01-01,panel,notebook_tech,0,0.0,cohort
2026-01-01,papermill,notebook_tech,0,0.0,cohort
2026-01-01,plotly,plotting,3,2.521,cohort
2026-01-01,plotnine,plotting,0,0.0,cohort
2026-01-01,polars,array,0,0.0,cohort
2026-01-01,pyarrow,data_io,0,0.0,cohort
2026-01-01,pytorch,deep_learning,22,18.487,cohort
2026-01-01,pytorch_lightning,deep_learning,0,0.0,cohort
2026-01-01,quarto,notebook_tech,0,0.0,cohort
2026-01-01,requests,data_io,3,2.521,cohort
2026-01-01,scikit_learn,ml,37,31.092,cohort
2026-01-01,scipy,scientific,26,21.849,cohort
2026-01-01,seaborn,plotting,42,35.294,cohort
2026-01-01,sqlalchemy,data_io,0,0.0,cohort
2026-01-01,statsmodels,scientific,9,7.563,cohort
2026-01-01,streamlit,interactive,0,0.0,cohort
2026-01-01,sympy,scientific,5,4.202,cohort
2026-01-01,tensorflow,deep_learning,0,0.0,cohort
2026-01-01,transformers,deep_learning,15,12.605,cohort
2026-01-01,voila,notebook_tech,0,0.0,cohort
2026-01-01,xgboost,ml,4,3.361,cohort
2026-07-07,altair,plotting,0,0.0,daily
2026-07-07,anthropic,llm,0,0.0,daily
2026-07-07,anywidget,interactive,0,0.0,daily
2026-07-07,bokeh,plotting,0,0.0,daily
2026-07-07,dask,data_io,2,0.5,daily
2026-07-07,duckdb,data_io,4,1.0,daily
2026-07-07,holoviews,plotting,0,0.0,daily
2026-07-07,ipyleaflet,interactive,0,0.0,daily
2026-07-07,ipywidgets,interactive,5,1.25,daily
2026-07-07,jax,deep_learning,15,3.75,daily
2026-07-07,jupyter_ai,llm,0,0.0,daily
2026-07-07,keras,deep_learning,23,5.75,daily
2026-07-07,langchain,llm,5,1.25,daily
2026-07-07,lightgbm,ml,1,0.25,daily
2026-07-07,llamaindex,llm,0,0.0,daily
2026-07-07,marimo,notebook_tech,0,0.0,daily
2026-07-07,matplotlib,plotting,221,55.25,daily
2026-07-07,nbconvert,notebook_tech,0,0.0,daily
2026-07-07,numpy,array,273,68.25,daily
2026-07-07,openai,llm,3,0.75,daily
2026-07-07,pandas,array,161,40.25,daily
2026-07-07,panel,notebook_tech,0,0.0,daily
2026-07-07,papermill,notebook_tech,0,0.0,daily
2026-07-07,plotly,plotting,10,2.5,daily
2026-07-07,plotnine,plotting,1,0.25,daily
2026-07-07,polars,array,0,0.0,daily
2026-07-07,pyarrow,data_io,2,0.5,daily
2026-07-07,pytorch,deep_learning,56,14.0,daily
2026-07-07,pytorch_lightning,deep_learning,1,0.25,daily
2026-07-07,quarto,notebook_tech,0,0.0,daily
2026-07-07,requests,data_io,16,4.0,daily
2026-07-07,scikit_learn,ml,79,19.75,daily
2026-07-07,scipy,scientific,49,12.25,daily
2026-07-07,seaborn,plotting,65,16.25,daily
2026-07-07,sqlalchemy,data_io,1,0.25,daily
2026-07-07,statsmodels,scientific,16,4.0,daily
2026-07-07,streamlit,interactive,1,0.25,daily
2026-07-07,sympy,scientific,1,0.25,daily
2026-07-07,tensorflow,deep_learning,52,13.0,daily
2026-07-07,transformers,deep_learning,9,2.25,daily
2026-07-07,voila,notebook_tech,0,0.0,daily
2026-07-07,xgboost,ml,5,1.25,daily
